Session,Bedingung,Block,Runde im Block,Spieler 1,VP,Karte1 VP1,Karte2 VP1,Karte1 VP2,Karte2 VP2,Aktion,Zeit,Gewinner,Punktestand VP1,Punktestand VP2
15,no_pay,0,1,VP1,,11,8,8,9,Session,16:24:22.130,,,
15,no_pay,0,1,VP1,VP1,11,8,8,9,Start,16:24:23.577,,,
15,no_pay,0,1,VP1,VP2,11,8,8,9,Start,16:24:24.523,,,
15,no_pay,0,1,VP1,,11,8,8,9,Fixation Flash,16:24:29.588,,,
15,no_pay,0,1,VP1,,11,8,8,9,Fixation Ton,16:24:29.988,,,
15,no_pay,0,1,VP1,VP1,11,8,8,9,Start,16:24:35.989,,,
15,no_pay,0,1,VP1,VP2,11,8,8,9,Start,16:24:37.089,,,
15,no_pay,0,1,VP1,VP1,11,8,8,9,Karte 1,16:24:37.619,,,
15,no_pay,0,1,VP1,VP2,11,8,8,9,Karte 1,16:24:39.395,,,
15,no_pay,0,1,VP1,VP1,11,8,8,9,Karte 2,16:24:40.249,,,
15,no_pay,0,1,VP1,VP2,11,8,8,9,Karte 2,16:24:41.116,,,
15,no_pay,0,1,VP1,VP1,11,8,8,9,Mittel,16:24:41.941,,,
15,no_pay,0,1,VP1,VP2,11,8,8,9,Wahrheit,16:24:42.834,,,
15,no_pay,0,1,VP1,,11,8,8,9,Showdown,16:24:43.032,VP1,,
15,no_pay,0,1,VP1,VP1,11,8,8,9,N채chste Runde,16:24:43.702,,,
15,no_pay,0,1,VP1,VP2,11,8,8,9,N채chste Runde,16:24:44.760,,,
15,no_pay,0,2,VP2,VP2,9,7,11,10,Karte 1,16:24:45.866,,,
15,no_pay,0,2,VP2,VP1,9,7,11,10,Karte 1,16:24:46.516,,,
15,no_pay,0,2,VP2,VP2,9,7,11,10,Karte 2,16:24:47.169,,,
15,no_pay,0,2,VP2,VP1,9,7,11,10,Karte 2,16:24:48.024,,,
15,no_pay,0,2,VP2,VP2,9,7,11,10,Hoch,16:24:48.457,,,
15,no_pay,0,2,VP2,VP1,9,7,11,10,Wahrheit,16:24:49.357,,,
15,no_pay,0,2,VP2,,9,7,11,10,Showdown,16:24:49.559,VP2,,
15,no_pay,0,2,VP2,VP1,9,7,11,10,N채chste Runde,16:24:50.071,,,
15,no_pay,0,2,VP2,VP2,9,7,11,10,N채chste Runde,16:24:51.128,,,
